log,n_traces,n_variants,ratio_variants_per_number_of_traces,n_events,trace_len_min,trace_len_max,trace_len_mean,trace_len_median,trace_len_mode,trace_len_std,trace_len_variance,trace_len_q1,trace_len_q3,trace_len_iqr,trace_len_geometric_mean,trace_len_geometric_std,trace_len_harmonic_mean,trace_len_skewness,trace_len_kurtosis,trace_len_coefficient_variation,trace_len_entropy,trace_len_hist1,trace_len_hist2,trace_len_hist3,trace_len_hist4,trace_len_hist5,trace_len_hist6,trace_len_hist7,trace_len_hist8,trace_len_hist9,trace_len_hist10,trace_len_skewness_hist,trace_len_kurtosis_hist,ratio_most_common_variant,ratio_top_1_variants,ratio_top_5_variants,ratio_top_10_variants,ratio_top_20_variants,ratio_top_50_variants,ratio_top_75_variants,mean_variant_occurrence,std_variant_occurrence,skewness_variant_occurrence,kurtosis_variant_occurrence,coverage_variants,rel_coverage_variants,heterogeneity_rate_variants,similarity_rate_variants,n_unique_activities,activities_min,activities_max,activities_mean,activities_median,activities_std,activities_variance,activities_q1,activities_q3,activities_iqr,activities_skewness,activities_kurtosis,n_unique_start_activities,start_activities_min,start_activities_max,start_activities_mean,start_activities_median,start_activities_std,start_activities_variance,start_activities_q1,start_activities_q3,start_activities_iqr,start_activities_skewness,start_activities_kurtosis,rel_unique_start_activities,n_unique_end_activities,end_activities_min,end_activities_max,end_activities_mean,end_activities_median,end_activities_std,end_activities_variance,end_activities_q1,end_activities_q3,end_activities_iqr,end_activities_skewness,end_activities_kurtosis,rel_unique_end_activities,eventropy_trace,eventropy_prefix,eventropy_prefix_flattened,eventropy_global_block,eventropy_global_block_flattened,eventropy_lempel_ziv,eventropy_lempel_ziv_flattened,eventropy_k_block_diff_1,eventropy_k_block_diff_3,eventropy_k_block_diff_5,eventropy_k_block_ratio_1,eventropy_k_block_ratio_3,eventropy_k_block_ratio_5,eventropy_knn_3,eventropy_knn_5,eventropy_knn_7,epa_variant_entropy,epa_normalized_variant_entropy,epa_sequence_entropy,epa_normalized_sequence_entropy,epa_sequence_entropy_linear_forgetting,epa_normalized_sequence_entropy_linear_forgetting,epa_sequence_entropy_exponential_forgetting,epa_normalized_sequence_entropy_exponential_forgetting,simple_trace_diversity,advanced_trace_diversity,distinct_activities_min,distinct_activities_max,distinct_activities_mean,distinct_activities_std,event_density,distinct_activities_non_overlap,complexity_factor,n_traces_with_loop,avg_traces_with_loop,avg_loops_per_trace,max_loops_per_trace,avg_loop_size_per_trace,max_loop_size_per_trace,n_traces_with_repetition,avg_traces_with_repetition,number_of_successions,number_of_ties,structure,average_affinity,lempel_ziv_complexity,deviation_from_random,n_nodes_dfg,n_edges_dfg,coeff_of_connectivity_dfg,avg_node_degree_dfg,max_node_degree_dfg,density_dfg,structure_dfg,cyclomatic_number_dfg,n_cut_vertices_dfg,separability_ratio_dfg,sequentiality_ratio_dfg,cyclicity_dfg,average_edit_distance
pdc2021_1000004.xes,1000,272,0.272,12792,4,33,12.792,7.0,6,8.487563608009074,72.038736,6.0,19.0,13.0,9.998393591566314,2.0543453759822103,7.874983992483484,0.5048484321899075,-1.1405424490693363,0.6635055978743803,6.687832520574023,0.1579310344827586,0.0206896551724137,0.0,0.0137931034482758,0.0541379310344827,0.0296551724137931,0.0210344827586206,0.0355172413793103,0.0058620689655172,0.0062068965517241,2.1156023892647973,3.3469664196901547,0.195,0.304,0.611,0.711,0.78,0.864,0.932,3.676470588235294,15.204915204195714,9.697813622912728,104.98053230785288,800,2.9411764705882355,0.8115229680113997,0.3330461288765649,50,92,1030,255.84,241.0,191.5572353110161,36694.1744,121.0,354.75,233.75,2.5606355284681954,7.732765006829785,10,1,984,100.0,1.0,294.6699848983605,86830.4,1.0,3.25,2.25,2.666554220429433,5.110760567026359,0.0367647058823529,13,1,477,76.92307692307692,3.0,152.22173176423195,23171.455621301782,1.0,6.0,5.0,1.8210942789257425,1.6765141454169568,0.0477941176470588,5.758,7.952,9.163,11.824,12.732,0.876,1.903,5.339,0.556,0.335,5.339,2.208,1.458,3.199,2.839,2.621,11542.352976565193,0.7011197769716475,44816.758143792686,0.3704828463279585,22470.885690918218,0.1857581412642769,28414.94055951033,0.2348953492564301,0.7486913086913087,1.266259127523402,0,32,12.565434565434565,8.475855349877792,0.9822885057406632,0.6848469014433141,215.7062011772386,37,0.037,0.037,1,1.0,1,177,0.177,309,175,0.9976346237024222,0.2111190113064447,1906,0.850908555294293,52,332,6.384615384615385,12.76923076923077,32,0.1251885369532428,0.8772189349112426,281,0,0.0,0.0,0.9615384615384616,17.4541001001001
pdc2022_0111102.xes,1000,207,0.207,4380,1,23,4.38,4.0,2,2.8095551249263644,7.8936,2.0,5.0,3.0,3.680764387609447,1.8036831017212047,3.097056864869001,1.9842820606419087,6.24580879020249,0.6414509417640102,6.7340750856463885,0.1968181818181818,0.159090909090909,0.0445454545454545,0.0263636363636363,0.0159090909090909,0.0077272727272727,0.0022727272727272,0.0,0.0004545454545454,0.0013636363636363,1.423654349434147,0.3008152210547616,0.138,0.176,0.385,0.567,0.748,0.896,0.948,4.830917874396135,11.383325827146264,8.197771853542202,88.50295271299083,800,3.864734299516908,0.7719901151523059,0.3312174066331191,13,102,943,336.9230769230769,233.0,255.7852048221655,65426.071005917154,200.0,244.0,44.0,1.3564262158600038,0.2427157952989662,9,1,943,111.11111111111111,7.0,294.1784962472971,86540.987654321,3.0,17.0,14.0,2.4728903255371404,4.119360328984167,0.0434782608695652,11,3,205,90.9090909090909,92.0,83.19031253201032,6920.628099173554,6.5,178.0,171.5,0.2529429164473363,-1.6183142123585386,0.0531400966183574,6.252,5.769,7.019,7.505,8.161,0.713,1.934,3.355,0.47,0.079,3.355,1.64,1.083,3.567,3.106,2.879,2230.638304601978,0.7969467655490413,13150.59672552067,0.3580786554485088,6598.465331654803,0.1796701429827323,8324.676871842023,0.226673295784946,0.7067547836778606,1.350984376883982,0,8,3.812187812187812,1.6211302370401532,0.8703625141981307,0.6879773238085822,50.12493209972618,0,0.0,0.0,0,0.0,0,154,0.154,55,37,0.999136502602161,0.1147132238132301,900,0.7330924739464535,15,75,5.0,10.0,16,0.3571428571428571,0.6666666666666667,61,0,0.0,0.0,0.4,5.783487487487488
pdc2025_02000100.xes,1000,995,0.995,31471,16,104,31.471,27.0,16,14.02836979124802,196.795159,21.0,38.0,17.0,28.845632709703548,1.5064195665865734,26.641415773402308,1.3505974348066605,2.1673022308411243,0.4457554507720765,6.818100240256632,0.0406818181818181,0.0367045454545454,0.0154545454545454,0.009090909090909,0.0059090909090909,0.0030681818181818,0.0017045454545454,0.0005681818181818,0.000340909090909,0.0001136363636363,1.1958223625960198,-0.2029864485525832,0.003,0.014,0.054,0.104,0.204,0.502,0.751,1.0050251256281406,0.0837252888428483,18.656201487529728,381.1004409969349,800,0.8040201005025126,0.9992743602485752,0.3089028864529388,32,270,2541,983.46875,898.5,539.5023739738663,291062.8115234375,614.0,1315.5,701.5,0.8117402304021906,0.3642508917153262,1,1000,1000,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,,,0.0010050251256281,1,1000,1000,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,,,0.0010050251256281,9.955,13.512,13.517,17.177,17.18,2.508,2.514,4.788,1.66,1.07,4.788,2.875,2.208,5.552,5.051,4.734,161418.56452102188,0.6682935026966568,202186.9786016891,0.6203205047498244,101404.32862651354,0.3111139241134613,128439.9840438968,0.3940607663420706,0.3499000999000998,0.8744845832796775,0,31,20.803196803196805,3.887559215443052,0.661027511143491,0.3350946805682833,283.52539371235594,216,0.216,0.268,6,1.2407407407407407,1,935,0.935,541,46,0.9999535365268554,0.2152165925542494,6010,0.8843128209041207,34,543,15.970588235294118,31.94117647058824,60,0.4839572192513369,0.5302768166089966,510,2,0.0588235294117647,0.0,0.8823529411764706,38.89196996996997
pdc_2020_1210110.xes,1000,759,0.759,35624,7,232,35.624,29.0,9,26.864002382370355,721.6746240000001,15.75,48.0,32.25,27.54037134066794,2.073334448791013,21.285774428233847,1.8429253265598755,5.674056631412249,0.7540984275311687,6.664271000702837,0.0230222222222222,0.0115555555555555,0.0061333333333333,0.0022666666666666,0.0008888888888888,0.0002666666666666,0.0002222222222222,0.0,4.4444444444444447e-05,4.4444444444444447e-05,1.735335267539848,1.758793436238454,0.025,0.111,0.253,0.316,0.392,0.62,0.81,1.3175230566534917,1.6980485363538884,8.568037236420706,88.83590317018374,800,1.0540184453227932,0.9600805919651604,0.2762839253416353,32,103,4381,1113.25,1000.0,830.821129967215,690263.75,651.75,1343.0,691.25,1.904528758858281,5.188044205131771,1,1000,1000,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,,,0.0013175230566534,1,1000,1000,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,,,0.0013175230566534,9.132,13.421,13.73,17.329,17.447,1.932,2.094,4.646,1.124,0.682,4.646,2.453,1.78,5.027,4.571,4.278,152551.08586503862,0.6228867087701521,215321.55808305804,0.5767019770425619,106739.00988071786,0.2858821874307203,136082.29934763286,0.3644731710700568,0.5053696303696305,1.1812172712938336,0,31,15.828171828171827,5.450388868294621,0.4443120320057216,0.5496363381798313,144.2562978444277,65,0.065,0.07,2,1.0769230769230769,1,867,0.867,491,87,0.9998489795705812,0.20782298351919,5317,0.8512223398342346,34,493,14.5,29.0,59,0.4393939393939394,0.5735294117647058,460,2,0.0588235294117647,0.0,0.8823529411764706,49.40228828828829
pdc2024_00001100.xes,1000,994,0.994,16407,12,21,16.407,16.0,18,2.1012736613777845,4.415351,15.0,18.0,3.0,16.27155576689769,1.137970643016677,16.135867841473928,0.0608370076332132,-1.067728201660589,0.1280717779836523,6.899532005866953,0.0044444444444444,0.081111111111111,0.1766666666666669,0.1677777777777777,0.1444444444444444,0.1388888888888891,0.1788888888888884,0.1488888888888891,0.0588888888888887,0.0111111111111111,-0.5820611220799191,-1.2158489544394309,0.003,0.015,0.055,0.105,0.204,0.503,0.751,1.0060362173038229,0.0895089594347494,16.63169288704014,305.9430406330646,800,0.8048289738430584,0.9991287947991044,0.4555152443116159,19,306,2000,863.5263157894736,694.0,511.7808297782673,261919.61772853183,496.5,1017.0,520.5,0.9709697585346504,-0.0037102272900351,1,1000,1000,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,,,0.0010060362173038,2,306,694,500.0,500.0,194.0,37636.0,403.0,597.0,194.0,0.0,-2.0,0.0020120724346076,9.953,11.66,11.663,13.506,13.509,2.054,2.065,4.013,1.755,1.231,4.013,2.574,2.104,5.137,4.646,4.338,71772.95650083733,0.7420039094413999,100445.34209189696,0.6307893468317455,50211.2743388125,0.3153231029348468,63686.61351668182,0.3999472400159641,0.3091645196908354,0.5852007555323223,0,16,13.125874125874128,1.278477749037923,0.8000167078609207,0.3345926441990086,176.2418557997036,390,0.39,0.517,2,1.3256410256410256,1,939,0.939,94,30,0.9999696367338842,0.1877991434888286,3057,0.863783669814052,21,97,4.619047619047619,9.238095238095235,19,0.2309523809523809,0.780045351473923,77,2,0.0952380952380952,0.0,0.5238095238095238,17.60745945945946
pdc2023_02111010.xes,1000,999,0.999,34784,7,192,34.784,26.0,12,26.8618939019571,721.5613440000001,16.0,46.0,30.0,27.226812493009064,1.9911003284038884,21.903547891625102,1.8643130594569095,4.286717851339233,0.7722485597388771,6.661962632548073,0.0263783783783783,0.0132972972972972,0.0071351351351351,0.0035135135135135,0.0016756756756756,0.0009729729729729,0.0006486486486486,0.0002162162162162,0.0001081081081081,0.0001081081081081,1.7316042221326018,1.7821160219562566,0.002,0.01,0.05,0.1,0.2,0.5,0.75,1.001001001001001,0.0316227607586212,31.559483550970967,994.0010020040068,800,0.8008008008008008,0.9998551627419942,0.2655322568653941,24,313,4979,1449.3333333333333,732.5,1344.599651279972,1807948.2222222225,391.5,2111.5,1720.0,1.1577834343622486,0.2721672237952401,9,1,256,111.11111111111111,38.0,108.35686354146289,11741.20987654321,2.0,222.0,220.0,0.2239406256991285,-1.8406136964870965,0.009009009009009,10,1,928,100.0,2.0,276.2918746543228,76337.2,2.0,8.75,6.75,2.656347756941376,5.078018138133476,0.01001001001001,9.964,14.583,14.583,18.08,18.08,2.385,2.386,4.028,1.474,1.016,4.028,2.429,1.909,5.84,5.306,4.973,206530.884497971,0.6379590212097649,228822.66094527068,0.6290946954231608,113349.58385268303,0.3116283222805492,144752.55016995038,0.3979634756658607,0.4042624042624042,1.0410695510771468,0,19,14.297702297702298,2.792398114176533,0.4110424993589667,0.4816000839231085,130.8167199341618,22,0.022,0.022,1,1.0,1,880,0.88,414,72,0.9999278557837116,0.220043910362014,6055,0.820808627426358,26,433,16.653846153846153,33.30769230769231,48,0.6661538461538462,0.3594674556213018,408,0,0.0,0.0,0.9230769230769232,48.24426826826827
pdc2024_10000110.xes,1000,996,0.996,17042,16,21,17.042,17.0,17,0.5641240998220161,0.3182359999999999,17.0,17.0,0.0,17.033110380029985,1.032466081337631,17.024613153126264,2.516803733151288,13.240289524705638,0.0331019891927013,6.90722113930313,0.168,0.0,1.652,0.0,0.144,0.0,0.002,0.0,0.032,0.002,2.5928229361068578,4.871290066454237,0.002,0.013,0.053,0.103,0.203,0.502,0.751,1.0040160642570282,0.0632450431647534,15.684515684523529,244.00403225806463,800,0.8032128514056225,0.9994197794745664,0.501108872620436,20,18,2000,852.1,989.5,474.4132059713347,225067.89000000004,502.25,1000.0,497.75,0.9887225118000924,0.9995238973118976,7,1,987,142.85714285714286,1.0,344.6283416632344,118768.693877551,1.0,4.5,3.5,2.0410315836903816,2.166207195133192,0.0070281124497991,10,1,502,100.0,1.0,197.0340072170284,38822.4,1.0,3.0,2.0,1.5011782513948897,0.2556906251676452,0.0100401606425702,9.958,11.294,11.296,13.978,13.981,2.126,2.134,4.096,1.919,1.439,4.096,2.66,2.252,5.168,4.667,4.341,71837.8332419423,0.7445688341155801,99942.75443049306,0.6018920531726389,50070.733796238266,0.3015443884872906,63450.49523227379,0.382122236552267,0.2527472527472527,0.5052081694319128,0,16,14.945054945054943,0.5437668063043051,0.8769542861785555,0.2312131934219141,213.27925001220532,373,0.373,0.448,2,1.206434316353887,2,923,0.923,197,64,0.9999354849115336,0.2338355633550391,3185,0.8549817390978645,22,214,9.727272727272728,19.454545454545453,37,0.4632034632034632,0.5578512396694215,193,0,0.0,0.0,0.9090909090909092,17.236424424424424
pdc2021_1101114.xes,1000,450,0.45,18645,2,185,18.645,4.5,3,23.481673172923603,551.388975,3.0,31.0,28.0,8.59624735865333,3.5171208653349875,4.777756100335198,2.0131267908391024,5.77507472948494,1.259408590663642,6.26921752519822,0.0358469945355191,0.0089071038251366,0.0058469945355191,0.0023497267759562,0.000983606557377,0.0005464480874316,0.0,5.4644808743169365e-05,5.4644808743169365e-05,5.464480874316945e-05,2.3370296842551284,3.995177940380355,0.165,0.404,0.555,0.595,0.64,0.775,0.887,2.2222222222222223,10.885441631195905,12.825193574376604,173.7140419479555,800,1.7777777777777777,0.884404171258448,0.2581613845555043,39,50,1662,478.0769230769231,393.0,409.4787421059687,167672.84023668637,162.5,676.5,514.0,1.4590090698348377,1.620330273152696,5,1,985,200.0,5.0,392.50579613554754,154060.8,2.0,7.0,5.0,1.499889282903456,0.249852267101176,0.0111111111111111,7,1,532,142.85714285714286,10.0,209.3755536087716,43838.12244897959,5.0,223.5,218.5,1.0216323462231085,-0.8237000882930854,0.0155555555555555,6.633,11.945,12.462,16.799,16.852,1.834,2.024,4.822,0.879,0.738,4.822,2.353,1.714,4.68,4.201,3.905,67226.27682797099,0.6143197618823433,100053.95467148018,0.545721559844605,50453.84239170123,0.2751890183707191,63728.13268345949,0.3475906183637805,0.7383898153128923,2.0129505234261136,0,32,10.202797202797203,9.02753210085681,0.5472135801982947,0.6412732108976665,105.17159441842476,262,0.262,0.359,5,1.713740458015267,7,509,0.509,224,124,0.9993876543209876,0.1476002021057091,3122,0.8582720528738953,41,236,5.7560975609756095,11.51219512195122,28,0.1439024390243902,0.8596073765615705,196,0,0.0,0.0,0.951219512195122,29.859311311311316
pdc2025_01110000.xes,1000,488,0.488,15290,7,58,15.29,13.0,8,8.690909043362495,75.5319,8.0,19.0,11.0,13.338603401660972,1.6632031468884436,11.854201723304008,1.4968733647710588,2.508611941001326,0.5684047771983319,6.766688231925256,0.0845098039215686,0.0452941176470588,0.0292156862745098,0.0166666666666666,0.0098039215686274,0.0050980392156862,0.0033333333333333,0.0007843137254901,0.0007843137254901,0.0005882352941176,1.5438927714112598,1.2719323859871228,0.061,0.215,0.48,0.547,0.609,0.756,0.878,2.0491803278688523,6.039287303268184,7.644908153566335,60.06891556029675,800,1.639344262295082,0.8961399406675703,0.3239816269686057,28,217,1006,546.0714285714286,464.5,303.19511970387134,91927.28061224488,264.0,890.25,626.25,0.3804752917452634,-1.5080809760043423,1,1000,1000,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,,,0.0020491803278688,1,1000,1000,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,,,0.0020491803278688,7.446,10.396,11.486,13.497,14.127,1.575,2.213,4.585,1.089,0.754,4.585,2.344,1.743,4.432,4.037,3.783,39905.00577878291,0.6809217260019296,77309.12834907025,0.5247755980552055,38516.28264194876,0.2614491417757017,48908.00667387477,0.3319883304864512,0.5647209932924219,1.171671139205376,0,28,12.187812187812188,4.497384222394998,0.7971100188235571,0.5463767087076796,178.7394116223159,0,0.0,0.0,0,0.0,0,499,0.499,330,74,0.9996892636388068,0.2273226022089017,2571,0.8466501511156519,30,332,11.066666666666666,22.133333333333333,30,0.3816091954022989,0.6311111111111112,303,2,0.0666666666666666,0.0,0.8666666666666667,19.791345345345345
pdc2021_1200110.xes,1000,410,0.41,23812,3,222,23.812,6.0,4,30.32439044729506,919.568656,4.0,38.0,34.0,11.300287702494886,3.3747344379972293,6.547608251632804,2.0523402776730646,5.303376867496132,1.2734919556230075,6.271380476476969,0.03,0.0070319634703196,0.0044748858447488,0.0022374429223744,0.0010045662100456,0.0004566210045662,0.0001826484018264,0.0001826484018264,4.566210045662099e-05,4.566210045662099e-05,2.37876543816778,4.143536811262752,0.204,0.528,0.609,0.631,0.672,0.795,0.897,2.4390243902439024,14.38299941663481,12.12893852961573,153.0630818061273,800,1.951219512195122,0.8709279522399119,0.2706896764207355,51,41,1327,466.9019607843137,365.0,307.66669353357184,94658.7943098808,241.0,672.0,431.0,0.7249570140400848,-0.2096951063408112,1,1000,1000,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,,,0.0024390243902439,3,51,543,333.3333333333333,406.0,207.3263664424335,42984.22222222222,228.5,474.5,246.0,-0.4826843033515409,-1.5000000000000002,0.0073170731707317,5.907,12.186,12.885,18.134,18.207,2.023,2.275,5.358,1.062,0.885,5.358,2.601,1.928,4.75,4.254,3.949,87476.76491823074,0.5920837606445855,125630.17807635276,0.5235113724139198,63034.75293462605,0.2626710438834432,79851.9781349639,0.3327498161946001,0.7309357309357309,2.101757563674109,0,42,13.722277722277722,11.898706399974763,0.5762757316595717,0.6311808734478686,142.85467228657578,15,0.015,0.018,2,1.2,1,467,0.467,138,93,0.9994467578822128,0.2156833291024432,4097,0.893022206551219,53,142,2.679245283018868,5.358490566037736,21,0.0515239477503628,0.9494482022071912,90,4,0.0754716981132075,0.0377358490566037,0.8113207547169812,38.108426426426426
